Date,Symbol,Series,Deliverable_Qty,Traded_Qty,Delivery_Pct
2025-11-04,BDL,EQ,552934.0,1203483,45.94
2025-11-04,BEACON,SM,11000.0,15000,73.33
2025-11-04,BEARDSELL,EQ,33097.0,56594,58.48
2025-11-04,BECTORFOOD,EQ,46250.0,70868,65.26
2025-11-04,BEDMUTHA,EQ,7433.0,10240,72.59
2025-11-04,BEL,EQ,7992405.0,12831686,62.29
2025-11-04,BELLACASA,EQ,7443.0,10420,71.43
2025-11-04,BELRISE,EQ,4073380.0,8315810,48.98
2025-11-04,BEML,EQ,130184.0,278957,46.67
2025-11-04,BEPL,EQ,101221.0,180340,56.13
2025-11-04,BERGEPAINT,EQ,201080.0,332455,60.48
2025-11-04,BESTAGRO,EQ,17551.0,28753,61.04
2025-11-04,BETA,SM,4935.0,6300,78.33
2025-11-04,BEWLTD,SM,5000.0,6000,83.33
2025-11-04,BFINVEST,EQ,6791.0,12986,52.29
2025-11-04,BFSI,EQ,77378.0,117383,65.92
2025-11-04,BFUTILITIE,BZ,,24865,
2025-11-04,BGRENERGY,BE,,162538,
2025-11-04,BHADORA,SM,15600.0,24000,65.0
2025-11-04,BHAGCHEM,EQ,13604.0,20941,64.96
2025-11-04,BHAGERIA,EQ,54651.0,235857,23.17
2025-11-04,BHAGYANGR,EQ,144382.0,284970,50.67
2025-11-04,BHANDARI,EQ,718493.0,822330,87.37
2025-11-04,BHARATFORG,EQ,358105.0,547122,65.45
2025-11-04,BHARATGEAR,BE,,17971,
2025-11-04,BHARATRAS,EQ,4943.0,14534,34.01
2025-11-04,BHARATSE,EQ,75652.0,154895,48.84
2025-11-04,BHARATWIRE,EQ,126464.0,316367,39.97
2025-11-04,BHARTIARTL,EQ,7568409.0,12263078,61.72
2025-11-04,BHARTIHEXA,EQ,394294.0,969347,40.68
2025-11-04,BHEL,EQ,4018301.0,9063915,44.33
2025-11-04,BHEL,T0,1.0,1,100.0
2025-11-04,BIGBLOC,EQ,32170.0,43974,73.16
2025-11-04,BIKAJI,EQ,49337.0,96488,51.13
2025-11-04,BIKEWO,SM,8000.0,10000,80.0
2025-11-04,BIL,EQ,31013.0,42791,72.48
2025-11-04,BILVYAPAR,EQ,2524.0,3544,71.22
2025-11-04,BIOCON,EQ,1702746.0,4295964,39.64
2025-11-04,BIOFILCHEM,EQ,3773.0,5064,74.51
2025-11-04,BIRET,RR,131205.0,153540,85.45
2025-11-04,BIRLACABLE,EQ,20286.0,34586,58.65
2025-11-04,BIRLACORPN,EQ,80514.0,188513,42.71
2025-11-04,BIRLAMONEY,EQ,15526.0,22542,68.88
2025-11-04,BIRLANU,EQ,4374.0,5754,76.02
2025-11-04,BLACKBUCK,EQ,773836.0,1780240,43.47
2025-11-04,BLAL,EQ,18634.0,26186,71.16
2025-11-04,BLBLIMITED,EQ,315892.0,605431,52.18
2025-11-04,BLISSGVS,EQ,66841.0,134612,49.65
2025-11-04,BLKASHYAP,EQ,194387.0,269131,72.23
