Symbol,Sector
GVPTECH,Commercial Services
GVT&D,Capital Goods
HAL,Capital Goods
HAPPSTMNDS,Information Technology
HAPPYFORGE,Producer Manufacturing
HARDWYN,Distribution Services
HARIOMPIPE,Non-Energy Minerals
HARRMALAYA,Process Industries
HARSHA,Producer Manufacturing
HATHWAY,Consumer Services
HATSUN,Consumer Non-Durables
HAVELLS,Consumer Durables
HAVISHA,OTHER
HBLENGINE,Capital Goods
HBSL,Finance
HCC,Construction
HCG,Healthcare
HCL-INSYS,Technology Services
HCLTECH,Information Technology
HDBFS,OTHER
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HDIL,OTHER
HEADSUP,Retail Trade
HECPROJECT,Industrial Services
HEG,Capital Goods
HEIDELBERG,Non-Energy Minerals
HEMIPROP,Services
HERANBA,Process Industries
HERCULES,Producer Manufacturing
HERITGFOOD,Fast Moving Consumer Goods
HEROMOTOCO,Automobile and Auto Components
HESTERBIO,Health Technology
HEUBACHIND,OTHER
HEXATRADEX,Distribution Services
HEXT,Information Technology
HFCL,Telecommunication
HGINFRA,Construction
HGM,OTHER
HGS,Commercial Services
HIGREEN,OTHER
HIKAL,Healthcare
HILINFRA,OTHER
HILTON,Producer Manufacturing
HIMATSEIDE,Process Industries
HINDALCO,Metals & Mining
HINDCOMPOS,Producer Manufacturing
HINDCON,Non-Energy Minerals
HINDCOPPER,Metals & Mining
HINDOILEXP,OTHER
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDWAREAP,OTHER
HINDZINC,Metals & Mining
HIRECT,Producer Manufacturing
HISARMETAL,Non-Energy Minerals
HITECH,Non-Energy Minerals
HITECHCORP,Producer Manufacturing
HITECHGEAR,Producer Manufacturing
HLEGLAS,Producer Manufacturing
HLVLTD,Consumer Services
HMAAGRO,Distribution Services
HMT,Producer Manufacturing
HMVL,Consumer Services
HNDFDS,Consumer Non-Durables
HOACFOODS,OTHER
HOLMARC,OTHER
HOMEFIRST,Financial Services
HOMESFY,OTHER
HONASA,Fast Moving Consumer Goods
HONAUT,Capital Goods
HONDAPOWER,OTHER
HPAL,Non-Energy Minerals
HPIL,Process Industries
HPL,Electronic Technology
HPTL,OTHER
