Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-11-14,KIMS,EQ,675.0,675.3,662.0,665.0,678.15,333073,2219.79
2025-11-14,KINGFA,BE,4257.0,4420.0,4241.4,4269.9,4389.1,2910,125.09
2025-11-14,KIOCL,BE,399.85,399.85,376.2,382.0,387.45,57899,221.73
2025-11-14,KIRIINDUS,EQ,527.05,531.0,522.05,526.1,525.2,132180,695.8
2025-11-14,KIRLOSBROS,EQ,1734.0,1763.5,1725.0,1732.9,1734.1,37031,643.8
2025-11-14,KIRLOSENG,EQ,1070.0,1099.4,1064.25,1092.05,1084.9,1008020,10953.66
2025-11-14,KIRLOSIND,EQ,3715.4,3889.1,3606.0,3733.4,3691.6,56950,2174.76
2025-11-14,KIRLPNU,EQ,1115.5,1119.0,1094.7,1106.6,1111.2,44960,498.48
2025-11-14,KITEX,EQ,201.89,218.0,201.25,210.99,201.89,3700261,7823.29
2025-11-14,KKCL,EQ,529.05,529.05,515.0,517.25,529.05,10737,55.82
2025-11-14,KKJEWELS,SM,93.0,93.5,92.15,92.65,91.4,17000,15.81
2025-11-14,KLL,SM,44.75,45.0,44.15,45.0,44.45,26400,11.74
2025-11-14,KMEW,EQ,2632.6,2718.2,2599.8,2658.0,2632.6,50804,1352.43
2025-11-14,KMSUGAR,EQ,27.46,29.84,27.09,28.1,27.46,1201300,346.13
2025-11-14,KNAGRI,SM,224.0,224.95,218.0,218.05,218.25,14000,30.87
2025-11-14,KNRCON,EQ,169.0,170.0,167.75,168.21,170.18,789584,1330.87
2025-11-14,KODYTECH,SM,730.0,731.0,721.5,724.55,730.4,3500,25.43
2025-11-14,KOHINOOR,EQ,30.93,34.99,28.41,29.97,30.93,272384,81.32
2025-11-14,KOKUYOCMLN,EQ,100.81,101.99,98.63,98.95,100.81,42179,41.99
